answer_size,branching_measure_max_incident_degree,case,cycles_in_relevant_substructure,derived_structural_family,distractor_entity_count,distractor_relation_count,generator_distractor_size,generator_intermediate_reuse_count,maximum_relevant_traversal_depth,neutral_requirement,platform,predicate_count,preregistered_A,preregistered_R,relevant_entity_count,relevant_reachable_closure_size,relevant_relation_count,relevant_seed_entities,required_depth,requires_absence_proof,requires_difference,requires_intermediate_reuse,requires_intersection,requires_path,requires_predicate_sequence,requires_reachability,requires_reverse,requires_union,set_composition_count,task_family
1,1,order-platform-verification-control,False,one-hop inverse/fan-out,7,12,1,0,1,seed service → incoming verifies → test,order-platform,1,A0,R0,6,6,1,5,1,False,False,False,False,False,False,False,True,False,0,verification control
2,3,order-platform-production-impact,False,bounded multi-hop + join/set composition,-1,7,1,1,2,seed legacy package → incoming depends_on (bounded two steps) → incoming implements → service; independently deployment → incoming deployed_to → service; intersect,order-platform,3,A1,R2,14,14,6,10,3,False,False,True,True,False,False,True,True,False,1,production impact
1,3,order-platform-cutover-boundary-control,False,join/set composition,-1,11,1,1,1,seed cutover → targets → deployment → incoming deployed_to → service; intersect fixed API; outgoing crosses → boundary,order-platform,3,A3,R1,15,15,4,12,3,False,False,True,True,False,False,False,True,False,1,cutover boundary control
4,3,order-platform-cutover-readiness,False,composite/reused topology,-8,6,1,2,2,seed cutover → retires → package → incoming depends_on (bounded two steps) → incoming implements → service; independently deployment → incoming deployed_to → service; intersect; incoming verifies,order-platform,5,A3,R4,22,22,9,15,4,False,False,True,True,False,False,True,True,False,1,cutover readiness
1,1,identity-platform-verification-control,False,one-hop inverse/fan-out,7,12,1,0,1,seed service → incoming verifies → test,identity-platform,1,A0,R0,6,6,1,5,1,False,False,False,False,False,False,False,True,False,0,verification control
2,3,identity-platform-production-impact,False,bounded multi-hop + join/set composition,-1,7,1,1,2,seed legacy package → incoming depends_on (bounded two steps) → incoming implements → service; independently deployment → incoming deployed_to → service; intersect,identity-platform,3,A1,R2,14,14,6,10,3,False,False,True,True,False,False,True,True,False,1,production impact
1,3,identity-platform-cutover-boundary-control,False,join/set composition,-1,11,1,1,1,seed cutover → targets → deployment → incoming deployed_to → service; intersect fixed API; outgoing crosses → boundary,identity-platform,3,A3,R1,15,15,4,12,3,False,False,True,True,False,False,False,True,False,1,cutover boundary control
4,3,identity-platform-cutover-readiness,False,composite/reused topology,-8,6,1,2,2,seed cutover → retires → package → incoming depends_on (bounded two steps) → incoming implements → service; independently deployment → incoming deployed_to → service; intersect; incoming verifies,identity-platform,5,A3,R4,22,22,9,15,4,False,False,True,True,False,False,True,True,False,1,cutover readiness
1,1,catalogue-platform-verification-control,False,one-hop inverse/fan-out,7,12,1,0,1,seed service → incoming verifies → test,catalogue-platform,1,A0,R0,6,6,1,5,1,False,False,False,False,False,False,False,True,False,0,verification control
2,3,catalogue-platform-production-impact,False,bounded multi-hop + join/set composition,-1,7,1,1,2,seed legacy package → incoming depends_on (bounded two steps) → incoming implements → service; independently deployment → incoming deployed_to → service; intersect,catalogue-platform,3,A1,R2,14,14,6,10,3,False,False,True,True,False,False,True,True,False,1,production impact
1,3,catalogue-platform-cutover-boundary-control,False,join/set composition,-1,11,1,1,1,seed cutover → targets → deployment → incoming deployed_to → service; intersect fixed API; outgoing crosses → boundary,catalogue-platform,3,A3,R1,15,15,4,12,3,False,False,True,True,False,False,False,True,False,1,cutover boundary control
4,3,catalogue-platform-cutover-readiness,False,composite/reused topology,-8,6,1,2,2,seed cutover → retires → package → incoming depends_on (bounded two steps) → incoming implements → service; independently deployment → incoming deployed_to → service; intersect; incoming verifies,catalogue-platform,5,A3,R4,22,22,9,15,4,False,False,True,True,False,False,True,True,False,1,cutover readiness
1,1,telemetry-platform-verification-control,False,one-hop inverse/fan-out,7,12,1,0,1,seed service → incoming verifies → test,telemetry-platform,1,A0,R0,6,6,1,5,1,False,False,False,False,False,False,False,True,False,0,verification control
2,3,telemetry-platform-production-impact,False,bounded multi-hop + join/set composition,-1,7,1,1,2,seed legacy package → incoming depends_on (bounded two steps) → incoming implements → service; independently deployment → incoming deployed_to → service; intersect,telemetry-platform,3,A1,R2,14,14,6,10,3,False,False,True,True,False,False,True,True,False,1,production impact
1,3,telemetry-platform-cutover-boundary-control,False,join/set composition,-1,11,1,1,1,seed cutover → targets → deployment → incoming deployed_to → service; intersect fixed API; outgoing crosses → boundary,telemetry-platform,3,A3,R1,15,15,4,12,3,False,False,True,True,False,False,False,True,False,1,cutover boundary control
4,3,telemetry-platform-cutover-readiness,False,composite/reused topology,-8,6,1,2,2,seed cutover → retires → package → incoming depends_on (bounded two steps) → incoming implements → service; independently deployment → incoming deployed_to → service; intersect; incoming verifies,telemetry-platform,5,A3,R4,22,22,9,15,4,False,False,True,True,False,False,True,True,False,1,cutover readiness
