arm,case,compact_selected,describe_calls,ephemeral_calls,ephemeral_programs,exact_correct,expand_calls,graph_audit_reference,graph_operation_failures,intermediate_variable_reuse,internal_deterministic_operations,lookup_calls,model_environment_round_trips,model_input_tokens,model_output_tokens,model_visible_canonical_entity_records,model_visible_canonical_relation_records,model_visible_entity_records,model_visible_path_records,model_visible_relation_records,model_visible_tool_result_bytes,named_answer_set_size,path_calls,path_sequence_operations,platform,predicates_used,raw_receipt,retained_audit_edges,retained_audit_nodes,retained_audit_paths,retries_errors,rows_returned_by_query,schema_inspection_calls,set_algebra_operations,sql_aggregate_grouping,sql_audit_reference,sql_join_count,sql_recursive_cte_count,sql_select_count,sql_set_operation_count,sql_statement_count,task_family,temporary_host_language_programs,total_rows_returned,total_tool_calls,uses_disallowed_search_inside_ephemeral,valid_execution,wall_seconds
T_GRAPH,catalogue-platform-cutover-boundary-control,False,0,0,[],True,0,executions/catalogue-platform-cutover-boundary-control/T_GRAPH/record.json,0,False,0,0,18,NA,NA,0,0,,0,,33542,0,0,0,catalogue-platform,[],executions/catalogue-platform-cutover-boundary-control/T_GRAPH/record.json,0,0,0,0,,,0,,,,,,,,cutover boundary control,,,18,False,True,54.060893124958966
T_SQL,catalogue-platform-cutover-boundary-control,,,,,True,,,,,,,15,NA,NA,,,NA (row payloads were not retained by SQL audit),,NA (row payloads were not retained by SQL audit),29147,,,,catalogue-platform,,executions/catalogue-platform-cutover-boundary-control/T_SQL/record.json,,,,0,"[19, 3, 1, 3, 1, 4, 1, 4, 1, 3, 1, 3, 1, 3, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 3, 1, 4, 1, 4, 1, 3, 1, 3, 1, 4, 1, 3, 1, 1, 2]",20,,19,executions/catalogue-platform-cutover-boundary-control/T_SQL/record.json,12,0,41,1,60,cutover boundary control,"NA (receipt retains calls, not a reliable program-file taxonomy)",108,15,,True,29.23801536404062
U_GRAPH,catalogue-platform-cutover-boundary-control,False,0,0,[],True,0,executions/catalogue-platform-cutover-boundary-control/U_GRAPH/record.json,0,False,0,0,18,NA,NA,0,0,,0,,32509,0,0,0,catalogue-platform,[],executions/catalogue-platform-cutover-boundary-control/U_GRAPH/record.json,0,0,0,0,,,0,,,,,,,,cutover boundary control,,,18,False,True,83.90550250397064
T_GRAPH,catalogue-platform-cutover-readiness,False,1,15,"[{""steps"": [{""assign"": ""tasks"", ""op"": ""search"", ""params"": {""kind"": ""task"", ""query"": ""catalogue""}}, {""assign"": ""result"", ""op"": ""project"", ""params"": {""fields"": [""id"", ""name""], ""from"": ""tasks""}}]}, {""collect"": ""result"", ""steps"": [{""assign"": ""tasks"", ""op"": ""search"", ""params"": {""kind"": ""task"", ""query"": ""catalogue cutover""}}, {""assign"": ""result"", ""op"": ""project"", ""params"": {""fields"": [""id"", ""name""], ""from"": ""tasks""}}]}, {""collect"": ""result"", ""steps"": [{""assign"": ""tasks"", ""k"": ""task"", ""op"": ""search"", ""query"": ""catalogue""}, {""assign"": ""result"", ""op"": ""project"", ""params"": {""fields"": [""id"", ""name""], ""from"": ""tasks""}}]}, {""collect"": ""result"", ""steps"": [{""assign"": ""tasks"", ""limit"": 20, ""op"": ""search"", ""query"": ""catalogue legacy retirement cutover""}, {""assign"": ""result"", ""op"": ""project"", ""params"": {""fields"": [""id"", ""name"", ""kind""], ""from"": ""tasks""}}]}, {""collect"": ""tasks"", ""steps"": [{""assign"": ""tasks"", ""limit"": 20, ""op"": ""search"", ""query"": ""catalogue legacy retirement cutover""}]}, {""collect"": ""$tasks"", ""steps"": [{""assign"": ""tasks"", ""limit"": 20, ""op"": ""search"", ""query"": ""catalogue legacy retirement cutover""}]}, {""collect"": ""$retired"", ""steps"": [{""assign"": ""task"", ""op"": ""lookup"", ""references"": [""task:catalogue-platform-legacy-cutover""]}, {""assign"": ""retired"", ""depth"": 1, ""direction"": ""outgoing"", ""from"": ""$task"", ""op"": ""traverse"", ""predicates"": [""retires""]}]}, {""collect"": ""$modules"", ""steps"": [{""assign"": ""pkg"", ""op"": ""lookup"", ""references"": [""package:legacy-search""]}, {""assign"": ""modules"", ""depth"": 3, ""direction"": ""incoming"", ""from"": ""$pkg"", ""op"": ""traverse"", ""predicates"": [""depends_on""]}]}, {""collect"": ""$services"", ""steps"": [{""assign"": ""pkg"", ""op"": ""lookup"", ""references"": [""package:legacy-search""]}, {""assign"": ""modules"", ""depth"": 3, ""direction"": ""incoming"", ""from"": ""$pkg"", ""op"": ""traverse"", ""predicates"": [""depends_on""]}, {""assign"": ""services"", ""depth"": 1, ""direction"": ""incoming"", ""from"": ""$modules"", ""op"": ""traverse"", ""predicates"": [""implements""]}]}, {""collect"": ""$deployments"", ""steps"": [{""assign"": ""svc1"", ""op"": ""lookup"", ""references"": [""service:catalogue-api""]}, {""assign"": ""svc2"", ""op"": ""lookup"", ""references"": [""service:index-worker""]}, {""assign"": ""services"", ""left"": ""$svc1"", ""op"": ""union"", ""right"": ""$svc2""}, {""assign"": ""deployments"", ""depth"": 1, ""direction"": ""outgoing"", ""from"": ""$services"", ""op"": ""traverse"", ""predicates"": [""deployed_to""]}]}, {""collect"": ""$tests"", ""steps"": [{""assign"": ""svc1"", ""op"": ""lookup"", ""references"": [""service:catalogue-api""]}, {""assign"": ""svc2"", ""op"": ""lookup"", ""references"": [""service:index-worker""]}, {""assign"": ""services"", ""left"": ""$svc1"", ""op"": ""union"", ""right"": ""$svc2""}, {""assign"": ""tests"", ""depth"": 1, ""direction"": ""incoming"", ""from"": ""$services"", ""op"": ""traverse"", ""predicates"": [""verifies""]}]}, {""collect"": ""$all_services"", ""steps"": [{""assign"": ""pkg"", ""op"": ""lookup"", ""references"": [""package:legacy-search""]}, {""assign"": ""all_services"", ""depth"": 4, ""direction"": ""incoming"", ""from"": ""$pkg"", ""op"": ""traverse"", ""predicates"": [""depends_on"", ""implements""]}]}, {""collect"": ""$targets"", ""steps"": [{""assign"": ""task"", ""op"": ""lookup"", ""references"": [""task:catalogue-platform-legacy-cutover""]}, {""assign"": ""targets"", ""depth"": 1, ""direction"": ""outgoing"", ""from"": ""$task"", ""op"": ""traverse"", ""predicates"": [""targets""]}]}, {""collect"": ""$all_tests"", ""steps"": [{""assign"": ""all_tests"", ""limit"": 20, ""op"": ""search"", ""query"": ""catalogue platform verification suite""}]}, {""collect"": ""$all_tests"", ""steps"": [{""assign"": ""all_tests"", ""limit"": 50, ""op"": ""search"", ""query"": ""test suite""}]}]",True,0,executions/catalogue-platform-cutover-readiness/T_GRAPH/record.json,3,False,31,1,18,NA,NA,32,16,,0,,32670,0,0,0,catalogue-platform,"[""depends_on"", ""deployed_to"", ""implements"", ""retires"", ""targets"", ""verifies""]",executions/catalogue-platform-cutover-readiness/T_GRAPH/record.json,16,32,0,3,,,2,,,,,,,,cutover readiness,,,18,True,True,56.267095206014346
T_SQL,catalogue-platform-cutover-readiness,,,,,True,,,,,,,16,NA,NA,,,NA (row payloads were not retained by SQL audit),,NA (row payloads were not retained by SQL audit),31056,,,,catalogue-platform,,executions/catalogue-platform-cutover-readiness/T_SQL/record.json,,,,0,"[19, 3, 1, 3, 1, 4, 1, 4, 1, 3, 1, 3, 1, 3, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 3, 1, 4, 1, 4, 1, 3, 1, 3, 1, 4, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2]",20,,19,executions/catalogue-platform-cutover-readiness/T_SQL/record.json,15,0,41,2,60,cutover readiness,"NA (receipt retains calls, not a reliable program-file taxonomy)",138,16,,True,26.23316016298486
U_GRAPH,catalogue-platform-cutover-readiness,False,0,0,[],True,0,executions/catalogue-platform-cutover-readiness/U_GRAPH/record.json,0,False,0,0,20,NA,NA,0,0,,0,,28830,0,0,0,catalogue-platform,[],executions/catalogue-platform-cutover-readiness/U_GRAPH/record.json,0,0,0,0,,,0,,,,,,,,cutover readiness,,,20,False,True,83.29966126597719
T_GRAPH,catalogue-platform-production-impact,True,1,7,"[{""collect"": ""$hits"", ""result_mode"": ""full"", ""steps"": [{""assign_to"": ""hits"", ""op"": ""search"", ""params"": {""kinds"": [""module"", ""package"", ""service""], ""query"": ""legacy-search""}}]}, {""collect"": ""$hits"", ""result_mode"": ""full"", ""steps"": [{""assign"": ""hits"", ""op"": ""search"", ""params"": {""query"": ""legacy-search""}}]}, {""collect"": ""$hits"", ""result_mode"": ""full"", ""steps"": [{""assign"": ""hits"", ""limit"": 25, ""op"": ""search"", ""query"": ""legacy-search""}]}, {""collect"": ""$hits"", ""result_mode"": ""full"", ""steps"": [{""assign"": ""hits"", ""limit"": 25, ""op"": ""search"", ""query"": ""legacy search""}]}, {""collect"": ""$services"", ""result_mode"": ""full"", ""steps"": [{""assign"": ""seed"", ""op"": ""lookup"", ""references"": [""package:legacy-search""]}, {""assign"": ""deps"", ""depth"": 3, ""direction"": ""incoming"", ""from"": ""$seed"", ""op"": ""expand"", ""predicates"": [""depends_on""]}, {""assign"": ""services"", ""depth"": 1, ""direction"": ""incoming"", ""from"": ""$deps"", ""op"": ""expand"", ""predicates"": [""implements""]}]}, {""answers"": {""affected"": ""$affected""}, ""collect"": ""$affected"", ""result_mode"": ""compact"", ""steps"": [{""assign"": ""seed"", ""op"": ""lookup"", ""references"": [""package:legacy-search""]}, {""assign"": ""deps"", ""depth"": 3, ""direction"": ""incoming"", ""from"": ""$seed"", ""op"": ""expand"", ""predicates"": [""depends_on""]}, {""assign"": ""all_svcs"", ""depth"": 1, ""direction"": ""incoming"", ""from"": ""$deps"", ""op"": ""expand"", ""predicates"": [""implements""]}, {""assign"": ""deployed"", ""depth"": 1, ""direction"": ""outgoing"", ""from"": ""$all_svcs"", ""op"": ""expand"", ""predicates"": [""deployed_to""]}, {""assign"": ""affected"", ""from"": ""$all_svcs"", ""keep"": ""$deployed"", ""op"": ""filter"", ""where"": {""kind"": ""service""}}]}, {""collect"": ""$prod_svcs"", ""result_mode"": ""full"", ""steps"": [{""assign"": ""prod"", ""op"": ""lookup"", ""references"": [""deployment:production""]}, {""assign"": ""prod_svcs"", ""depth"": 1, ""direction"": ""incoming"", ""from"": ""$prod"", ""op"": ""expand"", ""predicates"": [""deployed_to""]}]}]",True,3,executions/catalogue-platform-production-impact/T_GRAPH/record.json,7,True,14,3,18,NA,NA,20,12,,0,,27684,0,0,0,catalogue-platform,"[""depends_on"", ""deployed_to"", ""implements""]",executions/catalogue-platform-production-impact/T_GRAPH/record.json,12,20,0,7,,,0,,,,,,,,production impact,,,18,True,True,70.08487930998672
T_SQL,catalogue-platform-production-impact,,,,,True,,,,,,,13,NA,NA,,,NA (row payloads were not retained by SQL audit),,NA (row payloads were not retained by SQL audit),29119,,,,catalogue-platform,,executions/catalogue-platform-production-impact/T_SQL/record.json,,,,0,"[16, 3, 1, 3, 1, 4, 1, 4, 1, 3, 1, 3, 1, 3, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 3, 1, 3, 1, 4, 1, 3, 1, 2, 2]",17,,16,executions/catalogue-platform-production-impact/T_SQL/record.json,4,2,35,2,51,production impact,"NA (receipt retains calls, not a reliable program-file taxonomy)",92,13,,True,21.426314358017407
U_GRAPH,catalogue-platform-production-impact,False,0,0,[],True,0,executions/catalogue-platform-production-impact/U_GRAPH/record.json,0,False,0,0,19,NA,NA,0,0,,0,,30113,0,0,0,catalogue-platform,[],executions/catalogue-platform-production-impact/U_GRAPH/record.json,0,0,0,0,,,0,,,,,,,,production impact,,,19,False,True,76.89476831199136
T_GRAPH,catalogue-platform-verification-control,False,1,23,"[{""collect"": ""$candidates"", ""steps"": [{""assign_to"": ""candidates"", ""op"": ""search"", ""params"": {""kinds"": [""service""], ""limit"": 25, ""query"": ""Catalogue production API""}}]}, {""collect"": ""$candidates"", ""steps"": [{""assign"": ""candidates"", ""op"": ""search"", ""params"": {""kinds"": [""service""], ""limit"": 25, ""query"": ""Catalogue""}}]}, {""collect"": ""$candidates"", ""steps"": [{""assign"": ""candidates"", ""limit"": 25, ""op"": ""search"", ""query"": ""Catalogue""}]}, {""collect"": ""$services"", ""steps"": [{""assign"": ""services"", ""limit"": 25, ""op"": ""search"", ""query"": ""production API""}]}, {""collect"": ""$services_only"", ""steps"": [{""assign"": ""services"", ""limit"": 25, ""op"": ""search"", ""query"": ""Catalogue""}, {""assign"": ""services_only"", ""from"": ""$services"", ""kind"": ""service"", ""op"": ""filter""}]}, {""collect"": ""$all"", ""steps"": [{""assign"": ""all"", ""limit"": 25, ""op"": ""search"", ""query"": ""release verification""}]}, {""collect"": ""$services"", ""steps"": [{""assign"": ""hits"", ""limit"": 50, ""op"": ""search"", ""query"": ""service""}, {""assign"": ""services"", ""from"": ""$hits"", ""kinds"": [""service""], ""op"": ""filter""}]}, {""collect"": ""$neighbors"", ""steps"": [{""assign"": ""test"", ""op"": ""lookup"", ""references"": [""test:catalogue-platform-api-contract""]}, {""assign"": ""neighbors"", ""direction"": ""both"", ""from"": ""$test"", ""max_depth"": 2, ""op"": ""expand""}]}, {""collect"": ""$neighbors"", ""steps"": [{""assign"": ""api"", ""op"": ""lookup"", ""references"": [""service:catalogue-api""]}, {""assign"": ""neighbors"", ""direction"": ""both"", ""from"": ""$api"", ""max_depth"": 2, ""op"": ""expand"", ""predicates"": [""verifies""]}]}, {""collect"": ""$neighbors"", ""steps"": [{""assign"": ""worker_test"", ""op"": ""lookup"", ""references"": [""test:catalogue-platform-worker-integration""]}, {""assign"": ""neighbors"", ""direction"": ""both"", ""from"": ""$worker_test"", ""max_depth"": 2, ""op"": ""expand""}]}, {""collect"": ""$hits"", ""steps"": [{""assign"": ""hits"", ""limit"": 25, ""op"": ""search"", ""query"": ""suite""}]}, {""collect"": ""$neighbors"", ""steps"": [{""assign"": ""api"", ""op"": ""lookup"", ""references"": [""service:catalogue-api""]}, {""assign"": ""neighbors"", ""direction"": ""both"", ""from"": ""$api"", ""max_depth"": 3, ""op"": ""expand""}]}, {""collect"": ""$props"", ""result_mode"": ""full"", ""steps"": [{""assign"": ""tests"", ""op"": ""lookup"", ""references"": [""test:catalogue-platform-api-contract"", ""test:catalogue-platform-worker-integration""]}, {""assign"": ""props"", ""from"": ""$tests"", ""op"": ""project""}]}, {""collect"": ""$hits"", ""steps"": [{""assign"": ""hits"", ""limit"": 25, ""op"": ""search"", ""query"": ""production""}]}, {""collect"": ""$api_services"", ""steps"": [{""assign"": ""prod"", ""op"": ""lookup"", ""references"": [""deployment:production""]}, {""assign"": ""services"", ""direction"": ""incoming"", ""from"": ""$prod"", ""op"": ""traverse"", ""predicate"": ""deployed_to""}, {""assign"": ""api_services"", ""from"": ""$services"", ""kinds"": [""service""], ""op"": ""filter""}]}, {""collect"": ""$hits"", ""steps"": [{""assign"": ""hits"", ""limit"": 25, ""op"": ""search"", ""query"": ""API""}]}, {""collect"": ""$services"", ""steps"": [{""assign"": ""prod"", ""op"": ""lookup"", ""references"": [""deployment:production""]}, {""assign"": ""services"", ""direction"": ""incoming"", ""from"": ""$prod"", ""max_depth"": 1, ""op"": ""expand"", ""predicates"": [""deployed_to""]}]}, {""collect"": ""$verifiers"", ""steps"": [{""assign"": ""api"", ""op"": ""lookup"", ""references"": [""service:catalogue-api""]}, {""assign"": ""verifiers"", ""direction"": ""incoming"", ""from"": ""$api"", ""op"": ""traverse"", ""predicate"": ""verifies""}]}, {""collect"": ""$verifiers"", ""steps"": [{""assign"": ""api"", ""op"": ""lookup"", ""references"": [""service:catalogue-api""]}, {""assign"": ""verifiers"", ""direction"": ""incoming"", ""from"": ""$api"", ""op"": ""traverse"", ""predicates"": [""verifies""]}]}, {""collect"": ""$verifiers"", ""steps"": [{""assign"": ""api"", ""op"": ""lookup"", ""references"": [""service:catalogue-api""]}, {""assign"": ""prod"", ""op"": ""lookup"", ""references"": [""deployment:production""]}, {""a"": ""$api"", ""assign"": ""api_in_prod"", ""b"": ""$prod"", ""op"": ""intersection""}, {""assign"": ""verifiers"", ""direction"": ""incoming"", ""from"": ""$api"", ""op"": ""traverse"", ""predicates"": [""verifies""]}]}, {""collect"": ""$tests_only"", ""steps"": [{""assign"": ""all_tests"", ""limit"": 25, ""op"": ""search"", ""query"": ""Catalogue""}, {""assign"": ""tests_only"", ""from"": ""$all_tests"", ""kinds"": [""test""], ""op"": ""filter""}]}, {""collect"": ""$tests"", ""steps"": [{""assign"": ""hits"", ""limit"": 50, ""op"": ""search"", ""query"": ""test""}, {""assign"": ""tests"", ""from"": ""$hits"", ""kinds"": [""test""], ""op"": ""filter""}]}, {""collect"": ""$hits"", ""steps"": [{""assign"": ""hits"", ""limit"": 25, ""op"": ""search"", ""query"": ""catalogue-api""}]}]",True,0,executions/catalogue-platform-verification-control/T_GRAPH/record.json,6,True,40,3,18,NA,NA,61,28,,0,,29526,0,0,0,catalogue-platform,"[""deployed_to"", ""verifies""]",executions/catalogue-platform-verification-control/T_GRAPH/record.json,28,61,0,6,,,1,,,,,,,,verification control,,,18,True,True,65.87152499199146
