case,platform,row_count,table
order-platform-verification-control,order-platform,2,boundarys
order-platform-verification-control,order-platform,1,deployments
order-platform-verification-control,order-platform,1,module_depends_on_module
order-platform-verification-control,order-platform,1,module_depends_on_package
order-platform-verification-control,order-platform,2,modules
order-platform-verification-control,order-platform,1,packages
order-platform-verification-control,order-platform,2,resources
order-platform-verification-control,order-platform,2,service_crosses_boundary
order-platform-verification-control,order-platform,2,service_deployed_to_deployment
order-platform-verification-control,order-platform,2,service_implements_module
order-platform-verification-control,order-platform,1,service_owned_by_team
order-platform-verification-control,order-platform,2,service_uses_resource
order-platform-verification-control,order-platform,2,services
order-platform-verification-control,order-platform,1,teams
order-platform-verification-control,order-platform,2,test_verifies_service
order-platform-verification-control,order-platform,2,tests
order-platform-production-impact,order-platform,2,boundarys
order-platform-production-impact,order-platform,1,deployments
order-platform-production-impact,order-platform,1,module_depends_on_module
order-platform-production-impact,order-platform,1,module_depends_on_package
order-platform-production-impact,order-platform,2,modules
order-platform-production-impact,order-platform,1,packages
order-platform-production-impact,order-platform,2,resources
order-platform-production-impact,order-platform,2,service_crosses_boundary
order-platform-production-impact,order-platform,2,service_deployed_to_deployment
order-platform-production-impact,order-platform,2,service_implements_module
order-platform-production-impact,order-platform,1,service_owned_by_team
order-platform-production-impact,order-platform,2,service_uses_resource
order-platform-production-impact,order-platform,2,services
order-platform-production-impact,order-platform,1,teams
order-platform-production-impact,order-platform,2,test_verifies_service
order-platform-production-impact,order-platform,2,tests
order-platform-cutover-boundary-control,order-platform,2,boundarys
order-platform-cutover-boundary-control,order-platform,1,deployments
order-platform-cutover-boundary-control,order-platform,1,module_depends_on_module
order-platform-cutover-boundary-control,order-platform,1,module_depends_on_package
order-platform-cutover-boundary-control,order-platform,2,modules
order-platform-cutover-boundary-control,order-platform,1,packages
order-platform-cutover-boundary-control,order-platform,2,resources
order-platform-cutover-boundary-control,order-platform,2,service_crosses_boundary
order-platform-cutover-boundary-control,order-platform,2,service_deployed_to_deployment
order-platform-cutover-boundary-control,order-platform,2,service_implements_module
order-platform-cutover-boundary-control,order-platform,1,service_owned_by_team
order-platform-cutover-boundary-control,order-platform,2,service_uses_resource
order-platform-cutover-boundary-control,order-platform,2,services
order-platform-cutover-boundary-control,order-platform,1,task_retires_package
order-platform-cutover-boundary-control,order-platform,1,task_targets_deployment
order-platform-cutover-boundary-control,order-platform,1,tasks
order-platform-cutover-boundary-control,order-platform,1,teams
order-platform-cutover-boundary-control,order-platform,2,test_verifies_service
order-platform-cutover-boundary-control,order-platform,2,tests
order-platform-cutover-readiness,order-platform,2,boundarys
order-platform-cutover-readiness,order-platform,1,deployments
order-platform-cutover-readiness,order-platform,1,module_depends_on_module
order-platform-cutover-readiness,order-platform,1,module_depends_on_package
order-platform-cutover-readiness,order-platform,2,modules
order-platform-cutover-readiness,order-platform,1,packages
order-platform-cutover-readiness,order-platform,2,resources
order-platform-cutover-readiness,order-platform,2,service_crosses_boundary
order-platform-cutover-readiness,order-platform,2,service_deployed_to_deployment
order-platform-cutover-readiness,order-platform,2,service_implements_module
order-platform-cutover-readiness,order-platform,1,service_owned_by_team
order-platform-cutover-readiness,order-platform,2,service_uses_resource
order-platform-cutover-readiness,order-platform,2,services
order-platform-cutover-readiness,order-platform,1,task_retires_package
order-platform-cutover-readiness,order-platform,1,task_targets_deployment
order-platform-cutover-readiness,order-platform,1,tasks
order-platform-cutover-readiness,order-platform,1,teams
order-platform-cutover-readiness,order-platform,2,test_verifies_service
order-platform-cutover-readiness,order-platform,2,tests
identity-platform-verification-control,identity-platform,2,boundarys
identity-platform-verification-control,identity-platform,1,deployments
identity-platform-verification-control,identity-platform,1,module_depends_on_module
identity-platform-verification-control,identity-platform,1,module_depends_on_package
identity-platform-verification-control,identity-platform,2,modules
identity-platform-verification-control,identity-platform,1,packages
identity-platform-verification-control,identity-platform,2,resources
identity-platform-verification-control,identity-platform,2,service_crosses_boundary
identity-platform-verification-control,identity-platform,2,service_deployed_to_deployment
identity-platform-verification-control,identity-platform,2,service_implements_module
identity-platform-verification-control,identity-platform,1,service_owned_by_team
identity-platform-verification-control,identity-platform,2,service_uses_resource
identity-platform-verification-control,identity-platform,2,services
identity-platform-verification-control,identity-platform,1,teams
identity-platform-verification-control,identity-platform,2,test_verifies_service
identity-platform-verification-control,identity-platform,2,tests
identity-platform-production-impact,identity-platform,2,boundarys
identity-platform-production-impact,identity-platform,1,deployments
identity-platform-production-impact,identity-platform,1,module_depends_on_module
identity-platform-production-impact,identity-platform,1,module_depends_on_package
identity-platform-production-impact,identity-platform,2,modules
identity-platform-production-impact,identity-platform,1,packages
identity-platform-production-impact,identity-platform,2,resources
identity-platform-production-impact,identity-platform,2,service_crosses_boundary
identity-platform-production-impact,identity-platform,2,service_deployed_to_deployment
identity-platform-production-impact,identity-platform,2,service_implements_module
identity-platform-production-impact,identity-platform,1,service_owned_by_team
identity-platform-production-impact,identity-platform,2,service_uses_resource
identity-platform-production-impact,identity-platform,2,services
identity-platform-production-impact,identity-platform,1,teams
identity-platform-production-impact,identity-platform,2,test_verifies_service
identity-platform-production-impact,identity-platform,2,tests
