application_key,facility,parameter,monitoring_period,change,fields_changed,before_comparison,after_comparison,before_monitoring,after_monitoring,before_evidence,after_evidence,before_unresolved,after_unresolved,semantic_relation,grounding_pointer,before_state,after_state
measurement:dmr_form_value_id=3920662047,NM0020583,22415,2024-11-30,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662048,NM0020583,22416,2024-11-30,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662049,NM0020583,22418,2024-11-30,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662050,NM0020583,22419,2024-11-30,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662051,NM0020583,51443,2024-11-30,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662052,NM0020583,51444,2024-11-30,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662053,NM0020583,TEM3D,2024-11-30,field_delta,"comparison_status,evidence_status,unresolved_reason,pass_fail_reported",UNRESOLVED_SEMANTIC,PASS,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,DETERMINATE,limit_sample_type_code;monitoring_frequency_code;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,pass_fail_outcome_reporting,,state_b,state_c
measurement:dmr_form_value_id=3920662054,NM0020583,TEM6C,2024-11-30,field_delta,"comparison_status,evidence_status,unresolved_reason,pass_fail_reported",UNRESOLVED_SEMANTIC,PASS,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,DETERMINATE,limit_sample_type_code;monitoring_frequency_code;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,pass_fail_outcome_reporting,,state_b,state_c
measurement:dmr_form_value_id=3920662059,NM0020583,22415,2025-02-28,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662060,NM0020583,22416,2025-02-28,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
