application_key,facility,outfall,parameter,monitoring_period,reported_value,numeric_limit,applicable_requirement,comparison_status,monitoring_status,unresolved_reason,evidence_status,nodi_code,has_reported_value,is_numeric_comparison_candidate,monitoring_condition,pass_fail_reported
measurement:dmr_form_value_id=3896611084,NM0000116,001,00400,2024-10-31,,6,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129865,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611085,NM0000116,001,00400,2024-10-31,,9,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129864,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611093,NM0000116,001,00400,2024-11-30,,6,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129865,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611094,NM0000116,001,00400,2024-11-30,,9,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129864,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611102,NM0000116,001,00400,2024-12-31,,6,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129865,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611103,NM0000116,001,00400,2024-12-31,,9,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129864,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611111,NM0000116,001,00400,2025-01-31,,6,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129865,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611112,NM0000116,001,00400,2025-01-31,,9,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129864,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611120,NM0000116,001,00400,2025-02-28,,6,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129865,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611121,NM0000116,001,00400,2025-02-28,,9,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129864,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611129,NM0000116,001,00400,2025-03-31,,6,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129865,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
measurement:dmr_form_value_id=3896611130,NM0000116,001,00400,2025-03-31,,9,permit_limit_row:limit_set_schedule_id=3600833510|limit_value_id=3610129864,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics,UNRESOLVED_SEMANTIC,C,0,0,,
