NPDES_ID,VERSION_NMBR,ACTIVITY_ID,NPDES_VIOLATION_ID,PERM_FEATURE_NMBR,PERMIT_ACTIVITY_ID,LIMIT_SET_DESIGNATOR,MONITORING_LOCATION_CODE,DMR_FORM_VALUE_ID,DMR_VALUE_NMBR,DMR_VALUE_ID,DMR_PARAMETER_ID,NODI_CODE,ADJUSTED_DMR_VALUE_NMBR,LIMIT_VALUE_STANDARD_UNITS,VIOLATION_TYPE_CODE,VIOLATION_TYPE_DESC,VIOLATION_CODE,VIOLATION_DESC,PARAMETER_CODE,PARAMETER_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,MONITORING_PERIOD_END_DATE,NMBR_OF_REPORT,EXCEEDENCE_PCT,VALUE_QUALIFIER_CODE,UNIT_CODE,VALUE_RECEIVED_DATE,DAYS_LATE,ADJUSTED_DMR_STANDARD_UNITS,LIMIT_ID,DMR_VALUE_STANDARD_UNITS,VALUE_TYPE_CODE,RNC_DETECTION_CODE,RNC_DETECTION_DESC,RNC_DETECTION_DATE,RNC_RESOLUTION_CODE,RNC_RESOLUTION_DESC,RNC_RESOLUTION_DATE,STATISTICAL_BASE_CODE,STATISTICAL_BASE_MONTHLY_AVG,STATISTICAL_BASE_SHORT_DESC
NM0000116,1,20044287,200000806,001,20044287,A,1,,,,,,,,,,D80,"DMR, Monitor Only - Overdue",01022,"Boron, total [as B]",19,mg/L,02/28/2006,1,,,,,,,20209087,,C3,K,"Non-receipt Violation, Non-Monthly Average",05/29/2006,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),09/30/2011,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0020583,1,20044319,21433318,001,20044319,A,1,58086538,33.65,43873758,27617307,,,30,,,E90,"DMR, Limited - Numeric Violation",00530,"Solids, total suspended",19,mg/L,02/28/2001,1,12,,,03/19/2001,4,,20210287,33.65,C2,C,Chronic Violation,03/31/2001,2,RE - Back into Compliance,06/30/2001,3C,A,30DA AVG
NM0020583,2,20044318,1400687341,001,20044318,A,A,58084879,.02,1401685620,1400955603,,,.019,EFF,"Effluent Limit Violations,Not Otherwise Specified",E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,12/31/2008,1,5,=,,01/15/2009,,,20210279,.02,C3,H,"Chronic Violation, Non-Monthly Average",02/28/2009,2,RE - Back into Compliance,01/31/2010,IA,N,INST MAX
NM0020583,2,20044318,1400687341,001,20044318,A,A,58084879,.02,1401685620,1400955603,,,.019,PRMTVL,Violation Of A Permit Requirement,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,12/31/2008,1,5,=,,01/15/2009,,,20210279,.02,C3,H,"Chronic Violation, Non-Monthly Average",02/28/2009,2,RE - Back into Compliance,01/31/2010,IA,N,INST MAX
NM0028762,3,3600771189,3661982914,001,3600771189,A,1,3854807973,32,3750280637,3680149695,,,30,EFF,"Effluent Limit Violations,Not Otherwise Specified",E90,"DMR, Limited - Numeric Violation",00530,"Solids, total suspended",19,mg/L,09/30/2021,1,7,=,19,10/19/2021,,,3601482267,32,C3,,,,,,,DD,N,DAILY MX
