ACTIVITY_ID,EXTERNAL_PERMIT_NMBR,VERSION_NMBR,PERM_FEATURE_ID,PERM_FEATURE_NMBR,PERM_FEATURE_TYPE_CODE,LIMIT_SET_ID,LIMIT_SET_DESIGNATOR,LIMIT_SET_NAME,DMR_COMMENT_TEXT,LIMIT_SET_SCHEDULE_ID,LIMIT_SET_STATUS_FLAG,LIMIT_ID,LIMIT_BEGIN_DATE,LIMIT_END_DATE,NMBR_OF_SUBMISSION,NMBR_OF_REPORT,PARAMETER_CODE,PARAMETER_DESC,MONITORING_LOCATION_CODE,STAY_TYPE_CODE,LIMIT_VALUE_ID,LIMIT_VALUE_TYPE_CODE,LIMIT_VALUE_NMBR,LIMIT_UNIT_CODE,LIMIT_UNIT_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,LIMIT_VALUE_STANDARD_UNITS,STATISTICAL_BASE_CODE,STATISTICAL_BASE_TYPE_CODE,LIMIT_VALUE_QUALIFIER_CODE,STAY_VALUE_NMBR,LIMIT_TYPE_CODE,OPTIONAL_MONITORING_FLAG,LIMIT_SAMPLE_TYPE_CODE,LIMIT_FREQ_OF_ANALYSIS_CODE,ALL_MONTHS_LIMIT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,LIMIT_SEASON_ID
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239979,12/01/2021,11/30/2026,1,1,00310,"BOD, 5-day, 20 deg. C",1,,3610673284,Q1,1669,26,lb/d,01,kg/d,757.72599363,3C,AVG,<=,,ENF,N,12,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239979,12/01/2021,11/30/2026,1,1,00310,"BOD, 5-day, 20 deg. C",1,,3610673282,C2,30,19,mg/L,19,mg/L,30,3C,AVG,<=,,ENF,N,12,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239979,12/01/2021,11/30/2026,1,1,00310,"BOD, 5-day, 20 deg. C",1,,3610673283,Q2,2504,26,lb/d,01,kg/d,1136.81599045,7A,AVG,<=,,ENF,N,12,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239979,12/01/2021,11/30/2026,1,1,00310,"BOD, 5-day, 20 deg. C",1,,3610673281,C3,45,19,mg/L,19,mg/L,45,7A,AVG,<=,,ENF,N,12,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908064,06/01/2021,05/31/2026,3,1,00400,pH,1,,3610129864,C3,9,12,SU,12,SU,9,MB,MAX,<=,,ENF,N,GR,01/01,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908064,06/01/2021,05/31/2026,1,1,00400,pH,1,,3610129864,C3,9,12,SU,12,SU,9,MB,MAX,<=,,ENF,N,GR,01/01,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908064,06/01/2021,05/31/2026,1,1,00400,pH,1,,3610129865,C1,6,12,SU,12,SU,6,ME,MIN,>=,,ENF,N,GR,01/01,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908064,06/01/2021,05/31/2026,3,1,00400,pH,1,,3610129865,C1,6,12,SU,12,SU,6,ME,MIN,>=,,ENF,N,GR,01/01,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239981,12/01/2021,11/30/2026,1,1,00400,pH,1,,3610673290,C1,6.6,12,SU,12,SU,6.6,ME,MIN,>=,,ENF,N,GR,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239981,12/01/2021,11/30/2026,1,1,00400,pH,1,,3610673289,C3,9,12,SU,12,SU,9,MB,MAX,<=,,ENF,N,GR,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
